csho,invt,ap,act,sale,xint,re,che,at,dlc,dltt,lt,cogs,ivao,ceq,ni,sstk,dp,ppegt,txp,txt,lct,ib,rect,prcc_f,ivst,dltis,key_board_percent_independent,num_independent,board_size,misstate
100.233,507.073,499.502,5329.97,5606.24,240.431,2647.429,3324.005,9558.202,57.979,1318.053,5577.845,2913.782,1186.946,3931.345,313.826,0,276.404,5209.525,234.384,457.318,2953.291,313.826,1231.545,104.25,1602.757,23.47,0,3,4,0
18.64,0,0.264,3.158,5.849,0.536,-2.6,1.838,5.823,0.383,0.688,1.99,5.053,0,3.377,-1.249,5.033,0.218,0.349,0,0,1.302,-1.249,1.275,0.406,0,0.97,0,1,2,0
105.245,542.97,633.062,5673.669,6564.191,215.01,3134.818,3376.711,10866.108,554.938,1016.886,6288.268,3362.012,1521.756,4514.619,344.136,0,359.601,6143.673,315.784,471.265,3848.359,344.136,1474.451,105,1751.521,111.561,0,3,4,0
38.853,0,0.492,1.91,6.756,0.148,-3.424,0.165,5.649,0.45,0.916,2.231,5.429,0,3.418,-0.652,0,0.252,0.487,0,0,1.315,-0.652,1.686,0.344,0,0.1,0,2,3,0
4.656,1.597,0.248,3.769,6.482,0.091,0.731,1.404,4.363,0.112,0.169,0.716,3.265,0,3.647,0.421,2.653,0.1,0.663,0.187,0.282,0.547,0.421,0.754,3.5,0,0,1,1,1,0
2.091,0,0.189,28.512,0,0,-13.815,28.289,28.512,0,0,0.332,2.5,0,28.18,-13.815,41.995,0,0,0,0,0.332,-13.815,0,15.25,5.892,0,0,2,3,0
6.418,0.329,1.477,5.932,36.039,2.008,-0.574,0.263,38.047,6.303,8.912,19.39,23.066,0,18.657,-1.25,5.645,5.968,59.284,0,0,10.078,-1.25,4.902,3.5,0,4.084,0.666666667,1,1,0
5.124,0,0.458,26.028,2.879,0,-9.18,25.767,27.386,0,0,1.068,2.297,0,26.318,-1.719,24.814,0.457,2.437,0,0,1.068,-1.719,0.192,18,0,0,0,0,2,0
6.142,15.56,12.642,49.866,95.452,0.554,10.941,10.043,59.114,0,0.889,28.817,66.556,0.43,30.297,4.55,20.321,1.248,11.986,2.4,2.757,27.041,4.55,22.299,10.5,0,0,0,0,1,0
2.953,2.483,1.77,6.513,33.806,1.048,-0.199,0.821,13.717,0.17,0.075,3.466,18.947,0,10.251,1.012,12.303,0.547,2.193,0.215,0.785,3.264,1.098,1.111,17.25,0,0,0,1,3,0
105.248,584.25,633.601,5180.047,7012.326,102.285,3592.245,2614.25,11049.318,463.288,678.549,5989.583,3559.824,1633.785,4978.757,382.927,0.593,407.458,7019.607,287.498,475.886,3760.658,382.927,1533.36,92.5,1193.825,38.565,0,3,4,0
5.938,0,0.511,3.251,7.209,0.213,-4.457,1.637,6.706,0.521,0.398,1.894,5.7,0,4.812,-0.994,0.404,0.294,0.534,0,0,1.496,-0.994,1.546,1,0,0.175,0,2,3,0
8.901,0.193,0.396,1.164,4.18,0.084,-0.842,0.279,3.118,0.623,0.244,1.502,3.463,0,1.616,-0.686,0.153,0.265,2.538,0,0,1.258,-0.686,0.623,1.687,0,0.017,0,4,5,0
4.331,2.476,0.321,4.22,7.78,0.068,0.849,0.52,5.1,0.942,0.072,1.335,4.616,0,3.765,0.118,0,0.137,0.965,0,0.125,1.263,0.118,1.144,0.406,0,0,1,1,1,0
5.951,1.21,4.67,71.494,85.051,0.099,22.719,54.584,81.415,0.203,0.223,28.181,11.171,0,53.234,9.613,1.389,2.322,14.614,2.027,5.407,27.501,9.613,12.933,58.5,48.262,0.059,1,1,1,0
2.091,0,0,18.656,0,0,-24.284,18.256,18.656,0,0,0.945,0,0,17.711,-10.469,0,0,0,0,0.873,0.945,-10.469,0,8,7.958,0,0,2,3,0
6.418,0.278,0.588,7.138,34.243,1.676,-2.634,0.149,34.21,5.644,9.687,17.613,22.399,0,16.597,-2.06,0,6.446,60.488,0,0,7.51,-2.06,6.162,3.125,0,27.41,0.666666667,1,1,0
2.1,0.981,0.242,4.471,2.129,0.24,-1.807,2.338,4.826,1.645,0.431,2.996,1.66,0,1.83,-1.421,3.207,0.139,2.537,0,0,2.497,-1.421,1.152,4.25,1.277,0.258,0,0,1,0
1.33,0,0.084,1.022,1.006,0.912,-2.327,0.769,3.505,0.572,1.375,2.578,1.51,0,0.437,-1.282,3.216,0.039,1.38,0,0,1.175,-1.282,0.19,4.437,0,0.45,0,0,1,0
2.696,0,0.447,10.785,9.174,0.019,-1.951,9.736,11.581,0.237,0,1.528,6,0,10.053,-1.331,0.093,0.377,1.382,0.04,0,1.326,-1.331,0.901,5.25,9.695,0,0.666666667,2,3,0
5.17,0.053,0.851,17.234,3.19,0,-13.527,16.631,24.106,0,0,1.967,2.391,4.999,22.139,-4.304,0.04,0.622,3.492,0,0,1.967,-4.304,0.448,20,12.284,0,0,0,2,0
5.166,0,0.414,14.06,0.945,0.074,-17.358,13.743,24.43,0.183,0.237,1.367,5.056,9.194,23.063,-3.415,26.772,0.327,2.204,0,0,1.054,-3.415,0.158,6.125,13.623,0,0,4,4,0
4.119,1.801,0,4.345,0.363,0,-0.454,2.379,4.831,0.2,0,0.436,0.345,0.475,4.395,-0.437,4.836,0.002,0.01,0,0,0.436,-0.437,0,2.562,0,0,0,1,1,0
5.528,13.063,6.204,28.356,52.879,1.559,-2.443,0.737,56.373,0,15.1,24.201,34.547,0.634,32.172,0.807,29.648,2.229,19.274,0,-0.519,8.707,0.807,13.09,7.75,0,15.1,0.333333333,2,4,0
14.514,8.196,2.856,53.593,59.083,0.373,9.652,32.739,57.043,0.41,0.853,7.474,26.465,0,49.569,6.057,36.787,0.975,4.505,1.482,3.56,6.293,6.057,10.48,11.25,21.596,0.6,1,2,3,0
8.916,96.85,16.894,292.542,314.542,12.392,21.473,9.027,320.713,0.157,121.047,227.041,254.804,0,93.672,6.042,61.481,1.671,13.746,0,0,66.961,6.042,185.151,10.5,7.966,457.929,0,0,1,0
6.357,2.323,8.008,6.729,93.07,2.071,-33.043,0.764,41.409,0.909,1.492,13.059,76.456,0,28.35,-0.959,30.626,1.346,17.406,0.931,1.589,9.848,2.825,1.018,15.75,0.054,15.458,0.666666667,2,2,0
4.737,3.476,2.911,30.274,58.149,0.132,5.313,13.766,37.287,0.392,0.51,13.018,21.75,0,24.269,3.571,10.146,1.807,11.878,0.576,2.175,12.508,3.518,11.276,16,5.846,0,0,0,1,0
4.989,0.714,2.333,15.453,14.632,0.019,4.082,10.198,17.926,0,0,3.693,4.245,0,14.176,2.468,9.783,0.314,2.113,0.111,1.31,3.523,2.468,3.978,13,0,0,0.5,2,5,0
12.482,50.059,26.601,303.261,516.979,2.212,13.117,134.423,373.522,2.643,7.125,214.315,278.593,18.765,159.207,-134.034,19.082,31.616,221.252,8.675,1.558,142.445,-134.034,110.059,9.125,0,0,0,0,3,0
16.484,3.234,3.978,73.623,113.493,0.483,14.258,49.511,85.133,0.477,0.024,26.355,27.869,0,58.778,8.234,22.469,4.25,27.12,0,4.836,26.331,8.234,17.175,21,16.77,0,0,2,4,0
4.5,14.974,7.142,44.898,110.993,1.788,2.489,8.426,46.976,22.141,0.665,31.545,99.517,0,15.431,1.008,8.765,0.164,2.223,0,-0.148,30.88,1.008,20.592,5.25,7.783,0.7,0,2,3,0
5.871,0,0.272,8.952,3.386,0.018,-7.736,7.68,10.506,0.063,0.085,0.982,7.438,0,9.524,-4.072,7.314,0.255,1.745,0,0,0.806,-4.072,1.034,7.5,2.03,0.02,0,1,1,0
4.7,14.372,4.963,16.443,42.186,0.144,4.864,1.586,19.489,0,0,7.223,26.635,0,12.266,2.66,7.367,0.267,2.975,0.236,1.524,6.745,2.66,0,16.75,0,0,0,5,5,0
24.639,22.492,12.606,75.091,308.687,12.294,-95.476,23.667,183.678,6.211,83.388,136.12,189.568,0,47.558,22.899,95.936,9.508,189.594,0,14.979,28.644,24.93,26.512,18.75,0,82.75,0,1,3,0
26.832,20.785,12.505,100.97,126.424,1.435,4.263,48.382,131.525,0.399,16.22,61.804,71.737,0,66.46,7.702,39.748,3.093,33.294,1.404,5.291,43.808,7.702,27.722,9.5,4.174,0,0,0,2,0
19,108.09,40.086,265.276,774.919,74.868,-5.747,23.788,733.293,28.8,303.62,535.342,452.194,0,197.951,226.923,111.813,33.301,210.049,0,5.186,177.271,-50.414,78.211,29.25,0,54.47,0,0,1,0
17.193,69.493,28.873,139.051,453.527,33.442,-55.516,48.325,465.669,7.6,267.328,386.336,275.308,7.789,79.333,2.184,73.492,19.795,90.854,0.723,5.595,119.008,4.76,15.155,21.25,0,276.258,1,1,1,0
105.248,617.134,706.277,5372.009,7706.902,90.768,4280.813,2451.375,12277.402,153.571,736.411,6361.527,3896.402,1859.741,5824.554,383.303,0,512.125,8442.866,224.759,454.42,3831.375,383.303,1779.304,103,1181.33,86.116,0,5,6,0
6.823,0,0.406,5.113,8.928,0.063,-4.284,2.833,8.747,0.47,0.157,1.665,6.784,0,7.082,0.232,2.081,0.34,0.869,0,0.193,1.508,0.04,2.156,4.125,0,0,0,2,3,0
9.075,0.181,0.222,1.144,4.497,0.082,-0.739,0.084,3.096,0.604,0.243,1.214,3.14,0,1.882,0.102,0.163,0.3,2.892,0,0,0.971,0.102,0.779,1.625,0,0.02,0,4,5,0
4.331,2.4,0.587,4.035,6.573,0.084,0.51,0.168,4.842,0.829,0,1.416,3.466,0,3.426,-0.339,0,0.311,1.14,0,-0.125,1.416,-0.339,1.288,0.719,0,0,0.666666667,1,1,0
6.116,1.56,6.639,89.889,111.64,0.046,35.417,61.3,107.786,0.251,0.16,37.909,13.022,0,69.877,12.893,1.93,3.524,24.669,2.689,6.943,36.509,12.893,23.223,48.75,40.697,0.23,1,2,2,0
2.091,0,0,13.65,0,0,-29.665,13.199,13.65,0,0,1.32,0,0,12.33,-5.381,0,0,0,0,0.33,1.32,-5.381,0,7.5,6.775,0,0,3,4,0
6.418,0.365,2.967,5.592,30.16,1.941,-14.442,0.175,28.776,13.236,2.284,22.845,20.862,0,4.789,-11.808,0,6.464,66.224,0,0,19.544,-11.808,4.629,0.562,0,0,0.666666667,1,1,0
68.463,0,0.27,0.946,0.334,0.084,-12.987,0.47,3.498,0.258,0,0.528,0.077,0.621,2.22,-0.274,1.67,0.663,3.356,0,0,0.528,-1.494,0.359,0.875,0,0,0,0,1,0
2.1,0.613,0.588,2.159,2.092,0.208,-3.827,0.527,2.485,0.587,0.473,2.371,2.016,0,0.114,-2.09,0.43,0.129,2.607,0,0,1.839,-2.09,1.019,3.312,0.152,0.271,0,0,1,0
1.494,0,0.282,1.75,1.731,0.351,-3.422,1.151,13.657,0.474,5.652,7.592,1.168,0.269,-1.758,-1.095,8.324,0.129,8.67,0,0.001,1.181,-1.095,0.448,5.375,0.086,0,0,5,6,0
1.7,2.237,0.799,4.478,13.012,0.104,-1.335,0.808,6.64,0.042,1.16,2.758,9.122,0,3.882,-1.026,0,0.325,2.366,0,0,1.581,-1.026,1.364,3,0,0.567,0,3,8,0
10.199,5.926,1.425,12.79,33.217,0.27,-20.828,4.862,14.881,1.247,0.195,6.427,29.596,0,8.454,-16.822,0.065,0.489,2.833,0,0.438,6.232,-16.174,1.881,2.125,0,0,0,1,2,0
2.802,0,0.405,8.337,7.636,0.011,-3.509,7.301,9.854,0,0,1.114,5.532,0,8.74,-1.558,0.246,0.504,2.555,0.04,0,0.949,-1.558,0.865,5.125,5.807,0,0.666666667,3,4,0
6.086,12.423,10.737,40.675,75.75,0.12,7.344,11.21,50.227,0,0.74,23.865,54.293,0.308,26.362,1.209,0,1.268,12.629,0.7,0.508,20.179,1.209,15.167,6.125,0,0,0,0,2,0
20.192,32.183,7.991,112.756,149.882,4.992,-67.248,51.245,204.472,7.902,42.06,74.173,72.555,43.181,123.122,-9.757,5.979,3.447,19.775,0,0.453,28.797,-7.274,25.621,7.375,41.317,91.299,0.5,0,1,0
5.234,0.305,0.237,14.508,1.574,0.035,-24.942,13.914,20.888,0.512,3.705,5.424,9.45,1.5,15.464,-7.77,0.047,0.468,6.351,0,0,1.591,-7.77,0.008,4.625,8.891,4,0,5,5,0
14.326,0,1.088,7.213,0.339,0.018,-3.331,1.596,29.925,0.509,0,1.99,0.671,18.73,27.935,-2.712,20.412,0.008,0.073,0,0,1.99,-2.712,5.617,4.687,0,0,0,1,1,0
18.779,12.296,4.146,24.975,43.933,3.361,14.841,0,69.756,20.133,17.209,45.535,29.928,0.254,24.221,-0.932,0,3.59,74.083,0.235,0.603,24.514,-0.932,11.133,1.344,0,6,0,4,5,0
14.146,19.764,3.256,38.29,18.094,0.329,-145.696,16.153,47.377,1.706,0,43.466,16.892,0,3.911,-67.139,41.962,1.835,16.072,0,0,43.466,-67.139,1.493,6,0,0,0,1,1,0
15.669,11.245,5.888,69.703,82.212,0.211,19.302,40.425,75.267,0.452,0.431,12.737,36.112,0,62.53,9.65,1.776,1.981,8.552,1.469,6.169,11.944,9.65,14.15,18.25,30.495,0,0.5,3,4,0
8.99,173.499,62.597,502.846,595.736,17.927,51.688,4.208,578.346,32.792,173.892,366.117,467.533,0,212.225,34.089,88.391,2.919,24.539,0,0,159.869,34.089,318.715,34.125,3.994,764.299,0,0,1,0
33.488,0,13.329,244.196,208.216,11.792,-199.49,91.167,497.416,0.412,169.509,339.73,106.597,15.105,131.547,-34.794,26.872,7.234,74.129,3.839,11.048,105.258,17.293,84.4,20.75,17.05,168.8,0,1,1,0
21.212,2.51,0.774,3.734,20.199,5.13,-24.243,0.659,9.955,8.534,0.008,11.308,14.756,0,-1.353,-21.775,6.086,0.84,6.016,0.012,0,11.3,-21.775,0.188,1.437,0,0,0,1,1,0
6.36,2.819,6.431,13.042,119.35,0.55,-28.13,2.983,65.329,3.035,12.7,32.065,100.856,4,33.264,4.913,0,1.552,27.092,1.274,0.35,16.108,4.913,1.867,12.25,0.056,13.2,0.666666667,2,2,0
4.947,3.712,3.635,34.952,67.089,0.077,9.315,12.157,45.979,0.346,0.164,16.186,24.694,0,29.793,4.102,1.513,2.26,16.193,0.299,2.111,16.022,3.838,17.095,19,3.781,0,0,0,1,0
2.542,0,0,0.061,5.557,0,-0.02,0.061,60.625,0,0,0.076,0.15,60.564,60.549,5.407,0,0,0,0,0,0.076,5.407,0,26.25,0,0,1,3,4,0
18.415,107.516,31.217,190.758,532.499,40.132,-43.307,4.387,680.151,24.9,379.293,542.266,331.756,0,134.249,-4.417,149.556,22.597,201.237,3.141,19.018,101.63,23.886,68.571,16,0,245.483,0,0,1,0
5.839,2.467,4.389,28.577,28.87,0.051,5.782,14.891,38.335,0.4,0.45,8.869,12.117,0.381,29.466,1.7,13.59,0.746,5.436,0,1.873,7.173,1.7,10.456,17.5,0,1.1,0.5,3,6,0
13.599,56.222,35.212,271.225,451.835,1.953,15.357,81.635,352.923,1.891,0,177.747,267.626,12.253,175.176,9.12,1.853,17.822,194.992,4.104,1.85,137.357,9.12,125.47,10.125,0,0,0,0,3,0
17.349,3.993,5.283,89.299,127.77,0.021,27.233,55.21,121.984,0.011,0,42.572,25.958,15.482,79.412,12.962,7.659,4.771,33.95,1.211,7.697,38.822,12.962,22.595,15,31.666,0,0,3,5,0
4.5,15.256,9.288,35.469,108.02,1.735,-5.227,9.547,37.463,16.362,0.622,29.748,100.302,0,7.715,-7.716,0,0.223,2.285,0.146,-0.154,29.126,-7.716,9.787,3.562,8.317,0,0,2,3,0
7.444,0,1.066,10.156,4.715,0.035,-12.678,8.146,11.945,0.14,0.208,2.25,9.43,0,9.695,-4.948,5.112,0.45,2.446,0,0,1.952,-4.948,1.892,3.5,0,0,0,1,1,0
12.343,0,11.01,7.519,26.449,1.146,5.819,0,84.422,3.075,17.56,35.771,6.1,0.296,48.651,3.693,23.256,10.929,91.868,0,3.046,14.085,3.693,7.519,7.875,0,7.905,0,4,5,0
24.968,27.961,19.747,82.609,342.447,6.822,-72.235,14.371,221.366,4.019,83.515,146.677,232.097,0,74.424,32.471,2.742,12.481,242.343,0.101,15.165,39.567,27.321,37.43,16.75,0,0,0,2,4,0
26.832,21.942,14.309,87.322,138.058,1.023,8.413,32.224,142.608,5.596,15.806,67.119,78.435,0,70.753,7.442,0,3.638,42.594,2.396,5.323,49.88,7.442,30.098,15.875,4.628,0,0,0,2,0
17.844,30.267,15.617,140.503,347.238,3.914,-7.419,55.95,255.935,14,77,136.678,114.827,0,119.257,22.337,0,9.127,70.434,0.963,13.555,59.678,22.337,42.978,23.375,9.802,0,0,2,2,0
19.018,97.76,39.894,240.361,816.318,25.6,41.788,7.512,657.713,29.038,184.594,410.293,463.387,0,247.42,49.206,0.319,32.265,223.215,0,43.949,168.706,52.022,77.548,46,0,26,0,0,1,0
2.08,2.03,1.979,4.716,12.889,0.149,1.123,0.352,7.308,0.307,1.335,3.967,6.651,0.391,3.341,0.627,0.097,0.882,3.921,0.277,0.345,2.563,0.627,2.148,7,0,0.138,0.5,2,2,0
6.246,0.219,4.117,28.924,111.231,0.025,9.872,11.363,41.707,0.704,3.684,18.697,97.662,2.145,23.01,5.08,0.033,0.953,7.5,0.355,3.575,13.701,5.08,15.583,16,1.545,0,0,0,2,0
15.924,0,0.775,1.694,3.335,0.201,-0.496,0.488,6.592,0.594,0.861,2.664,2.124,0,3.728,-0.243,3.431,0.621,6.671,0,-0.099,1.634,-0.243,1.179,1.406,0,0,0,2,3,0
37.918,94.917,41.209,135.246,546.253,23.636,-33.002,1.144,466.726,13.47,211.437,306.495,327.325,10.951,160.231,23.469,54.513,20.172,113.434,0.818,22.851,92.735,29.588,26.627,25.75,0,144.5,1,2,2,0
9.258,0,45.323,150.68,280.23,0.378,37.414,112.226,171.456,0,0,93.488,224.296,0,77.968,11.891,40.491,1.636,23.564,0,8.299,91.966,11.891,37.218,20.25,105.437,0,0,3,5,0
8.871,2.286,4.276,17.948,16.954,1.023,-3.766,11.576,27.878,4.648,4.506,17.106,7.524,1.466,8.522,-12.107,0.069,27.342,42.317,0,-5.137,9.868,-12.107,3.759,5.25,1.968,6.51,0,1,2,0
11.5,35.571,51.828,97.801,562.949,0.692,41.226,8.785,244.168,0,0,77.094,435.795,0,167.074,45.928,26.865,21.818,201.592,2.078,2.456,77.094,45.928,46.498,29.5,0,0,0.333333333,1,1,0
6.779,0.495,0.105,10.268,0.401,0.035,-13.633,9.446,10.949,0.101,0.019,0.735,0.891,0.207,10.214,-3.324,11.621,0.19,1.059,0,0,0.716,-3.324,0.108,4,6.523,0,1,3,4,0
3.514,2.191,0.923,6.23,15.03,0.114,-1.849,2.196,6.656,0.037,0.019,1.172,8.327,0,5.484,1.088,3.14,0.184,1.104,0,0.148,1.153,1.088,1.733,4.25,0,0.342,0,2,2,0
8.374,9.398,4.209,30.493,64.717,0,7.773,6.785,36.41,0,0,6.406,43.817,0,30.004,2.733,13.577,1.325,6.531,0,1.205,6.406,2.733,12.088,7,0,0,1,7,8,0
7.419,2.078,5.376,20.321,36.833,0.657,-7.872,5.375,40.307,4.813,1.597,17.212,23.054,1.054,23.095,-5.443,16.53,1.846,14.582,0,-0.605,14.24,-5.443,11.537,6.5,0,0,0,3,4,0
3.624,0.022,0.325,1.428,2.849,0.285,4.709,0.758,12.535,0.038,3.037,3.966,1.596,0,8.461,-0.456,1.572,0.332,13.415,0,0,0.691,-0.456,0.465,5.625,0,0,0,2,4,0
4.663,0.781,0.151,8.206,11.15,0.023,3.221,5.24,9.123,0,0,0.528,3.455,0,8.595,3.268,4.82,0.066,0.991,0,1.626,0.528,3.268,2.067,26.25,1.408,0,0,3,5,0
5.492,8.618,0.77,10.8,8.12,0.201,-17.555,0.113,11.712,0,4.8,6.003,9.029,0,5.709,-3.821,10.036,0.086,1.227,0,0,1.203,-4.422,1.852,5.75,0,4.8,1,1,3,0
3.533,16.056,3.553,28.298,50.006,0.796,6.173,0.087,30.03,7.073,0.097,11.886,37.334,0,18.144,2.54,11.944,0.184,1.575,0.471,1.501,11.789,2.54,11.461,10.5,0,0.042,0,0,1,0
25,100.658,49.059,239.917,441.259,5.912,66.339,18.275,285.939,49.811,42.955,169.475,256.132,0,115.816,30.105,0,10.392,30.413,6.091,14.649,120.733,26.263,111.049,15.5,0,29.492,0,3,5,0
55.185,0.63,16.582,75.465,263.12,101.477,-5.301,31.772,1549.201,14.663,1200.673,1382.556,172.822,16.829,166.645,-1.137,0,22.493,1403.782,0,2.576,49.48,0.975,37.068,13,11.261,941.326,0,3,4,0
11.358,7.642,22.043,87.329,68.894,0.204,7.745,56.458,96.234,0.081,0.851,24.775,49.656,6.268,71.459,7.055,51.509,0.292,3.186,1.035,3.967,23.687,7.055,22.527,30,0,0.702,0,2,4,0
8.241,15.78,10.358,64.631,165.708,0.739,8.864,10.377,67.221,22.077,0.053,39.698,137.14,0,27.523,9.687,18.239,0.353,3.909,0,5.018,39.53,9.687,36.181,23,0,0,0,1,2,0
14.658,11.059,3.079,41.3,53.156,0.033,6.994,16.127,55.28,0.533,1.931,11.348,11.846,0,43.932,7.996,29.775,1.157,10.17,1.109,4.901,9.327,7.996,8.948,9.375,5.698,0,1,1,1,0
